Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
436;appeler;tocall;çaðýrmak, aramak (tlf);v.;apöle;116
437;appeler quelqu'un;tocall;seslenmek;v.;apöle kelkœñ;116
438;appétit (bon appétit);appetite;iþtah (afiyet olsun);m.;apeti;-1
439;applaudir;toapplaud;alkýþlamak;v.;aplodir;119
440;applaudissement;applause;alkýþ;m.;aplodismañ;119
441;application;application;uygulama, tatbikat;f.;aplikasyoñ;118
442;appliquer;toapply;uygulamak, tatbik etmek;v.;aplike;118
443;apporter;tobring;getirmek;v.;aporte;117
444;appréciation;appreciation;deðer verme, deðer biçme;f.;apresiyasoñ;120
445;apprécier;toappreciate;deðer vermek, deðer biçmek;v.;apresiye;120
446;apprendre;toteach, to learn;öðretmek, öðrenmek;v.;aprandr;121
447;apprendre par cœur;tomemorize;ezberlemek;v.;aprandr par kör;121
448;apprenti;apprentice, trainee;çýrak;m.;aprañti;121
449;apprentissage;learning, apprenticeship;öðrenme, acemilik dönemi;m.;aprañtisaj;121
450;apprivoiser;totame;alýþtýrmak;v.;aprivuaze;-1
451;approbation;approval;onama, tasvip;f.;aprobasyoñ;-1
452;approche;approach;yaklaþma, yanaþma, yaklaþým;f.;aproþ;122
453;approcher;to approach, move near(er) to;yaklaþtýrmak;v.;aproþe;122
454;s'approcher;to approach, move near(er) to;yanaþmak,yak(ýn)laþmak,sokulmak;v.;s'aproþe;122
455;approprié (-e);appropriate;uygun;adj.;apropriye;-1
456;approuver;tolike;beðenmek;v.;apruve;123
457;approuver;toapprove;onaylamak, onamak, beðenmek;v.;apruve;123
458;approvisionnement;purveyance;kumanya;m.;aprovizyoñmañ;24
459;approximatif (-ve);approximate;yaklaþýk, takriben;adj.;aproksimatif (-iv);126
460;approximativement;approximately;yaklaþýk olarak, takriben;adv.;aproksimativmañ;126
461;appui;support;destek;m.;apüi;124
462;appuyer;tosupport, to press on;desteklemek, dayamak, bastýrmak;v.;apüiye;124
463;s'appuyer sur..;tolean on;dayanmak;v.;s'apuiye;124
464;après;after, afterwards;sonra;prép.;apre;125
465;après-demain;the day after tomorrow;öbür gün;adv.;apre-dömen;125
466;après-midi;afternoon;öðleden sonra;m.;apre-midi;125
467;apte;capable of;yetenekli, becerikli;adj.;apt;-1
468;aptitude;faculty;yeterlik, yeterlilik;f.;aptitüd;-1
469;aquarelle;watercolour;suluboya;f.;akuarel;127
470;aquarium;aquarium;akvaryum;m.;akuaryom;127
471;Arabe;Arab;Arap;m.f.;arab;128
472;arabe;arabic;arapça;m.;arab;128
473;l'Arabie-Saoudite;Saudi Arabia;Suudi Arabistan;f.;arabi-saudit;128
474;araignée;spider;örümcek;f.;arenye;-1
475;arbitraire;arbitrary;keyfî;adj.;arbitrer;-1
476;arbitre;referee;hakem;m.;arbitr;-1
477;arbre;tree;aðaç;m.;arbr;129
478;arbre fruitier;tree of fruit;meyve aðacý;m.;arbr früitiye;129
479;arbre généologique;family tree;soyaðacý, þecere;m.;arbr jeneolojik;129
480;arc;arc, arch;yay, kemer (mim.);m.;ark;130
481;arc-en-ciel;rainbow;gökkuþaðý;m.;ark-an-siyel;130
482;archéologie;archeology;arkeloji, kazýbilim;f.;arkeoloji;131
483;archéologue;archeologist;arkeolog;m.f.;arkeolog;131
484;archipel;archipelago;yarýmada;m.;arþipel;-1
485;architecte;architect;mimar;m.;arþitekt;132
486;architecture;architecture;mimarî;f.;arþitektür;132
487;archives;archives;arþiv, belgelik;f.;arþiv;-1
488;l'Arctique ;Arctica;kuzeyle ilgili, arktik;f.;arktik;-1
489;ardoise;slate;arduvaz;f.;arduaz;-1
490;arène;bullring;arena;f.;aren;-1
491;arête;fishbone;kýlçýk;m.;aret;-1
492;argent;money;para;m.;arjañ;133
493;argent;silver;gümüþ;m.;arjañ;133
494;argent de poche;pocket money;harçlýk;m.;arjañ dö poþ;133
495;argent liquide;cash;nakit para;m.;arjañ likid;133
496;argenté(-e);sparkle;simli;adj.;arjañte;133
497;Argentin (-e);Argentinian;Arjantinli;m.f.;arjanteñ/arjantin;134
498;l'Argentine ;Argentina;Arjantin;f.;arjantin;134
499;argile;clay;kil;f.;arjil;-1
500;argot;slang;argo;m.;argo;-1
501;aristocrate;aristocrat;aristokrat;m.;aristokrat;135
502;aristocratie;aristcracy;aristokrasi;f.;aristokrasi;135
503;arithmétique;arithmetic;aritmetik, sayýbilim;f.;aritmetik;-1
504;arlequin;harlequin;soytarý;m.;arlökeñ;-1
505;arme;weapon;silah;f.;arm;136
506;armé (-e);armed;silahlý;adj.;arme;136
507;armée;army;ordu;f.;arme;136
508;Arménie;Armenia;Ermenistan;f.;armeni;137
509;Arménien (-ne);Armenian;Ermeni;m.f.;armeniyeñ/-yen;137
510;armer;toarm;silahlandýrmak;v.;arme;136
511;s'armer ;toget armed;silahlanmak;v.;s'arme;136
512;armistice;armistice;mütareke, býrakýþma (silah);m.;armistis;136
513;armoire;wardrobe, cupboard;dolap, gardrob;f.;armuar;-1
514;armure;armour;zýrh;f.;armür;-1
515;aromate;spice;aroma;m.;aromat;138
516;aromatique;aromatic;aromalý, hoþ kokulu;adj.;aromatik;138
517;aromatisé (-e);flavoured;aromalý, kokulu;adj.;aromatize;138
518;arôme;flavour;hoþ koku;m.;arom;138
519;arrache-clou;nail drawer;kerpeten;m.;araþ-klu;139
520;arracher;totear out, to pull out;yolmak, sökmek;v.;araþe;139
521;arrangement;arrangement;düzenleme, tanzim etme, tertip;m.;arañjmañ;-1
522;arranger;"tosettle; adjust";ayarlamak, halletmek;v.;arañje;140
523;arranger;toarrange;düzenlemek,tanzim etm.,tertiplemek;v.;aranje;140
524;arrestation;arrest;tutuklama;f.;arestasyon;141
525;arrêt;break, stop;ara, durak;m.;are;141
526;arrêt;arrest;tutuklama;m.;are;141
527;sans arrêt;nonstop, constantly;aralýksýz, durmadan;exp.;sanzare;141
528;arrêt de bus;bus stop;otobüs duraðý;m.;are dö büs;141
529;arrêter;toarrest;tutuklamak;v.;arete;141
530;arrêter;tostop;durdurmak;v.;arete;141
531;s'arrêter;tostop;durmak;v.;s'arete;141
532;arrière;back, rear;geri;adv.;ariyer;142
533;arrière-grands-parents;great-grandparents;büyük dede-nine;m.;ariyer-grañparañ;142
534;arrivée;arrival, finish;varýþ;f.;arive;143
535;arriver;toarrive;varmak;v.;arive;143
536;arriver à + inf.;tosucceed;baþarmak, becermek;v.;arive;143
537;arrogammant;arrogantly;kibirli bir biçimde;adv.;arogamañ;144
538;arrogance;arrogance;kibirlilik;f.;arogans;144
539;arrogant (-e);arrogant;kibirli;adj.;arogañ/arogant;144
540;arrondir;to round;yuvarlaklaþtýrmak;v.;aroñdir;145
541;arrondissement;district;yönetim bölgesi;m.;aroñdismañ;145
542;arroser;towater;sulamak;v.;aroze;-1
543;arsenal;arsenal;tersane;m.;arsenal;-1
544;art;art;sanat;m.;ar;146
545;artère;artery;atardamar;f.;arter;147
546;artère;road;anayol;f.;arter;147
547;artichaut;artichoke;enginar;m.;artiþo;-1
548;article;article;makale;m.;artikl;-1
549;articuler;toarticulate;söylemek (tane tane);v.;artiküle;-1
550;artificiel (-le);artificial;yapay, sunî;adj.;artifisiyel;148
551;artificiellement;artificially;sunî bir biçimde;adv.;artifisiyelmañ;148
552;artisan;craftsman;zanaatkâr;m.;artizañ;146
553;artisanat;handicraft;zanaatkarlýk;m.;artizana;146
554;artiste;artsit;sanatçý, artist;m.;artist;146
555;ascendant (-e);ascendants;soy, ana baba kuþaðý;m.f.;asandañ;149
556;ascenseur;lift, elevator;asansör;m.;asansör;149
557;Ascension;Ascension;Hz.Ýsa'nýn göðe yükseliþi, Miraç;m.;asansiyoñ;149
558;asiatique;asiatic;asyalý;adj.;azyatik;150
559;l'Asie ;Asia;Asya;f.;azi;150
560;asile d'aliénés;insane asylum;týmarhane;m.;azil d'aliyene;-1
561;aspect;appearance, aspect;görünüþ, bakýþ;m.;aspe;-1
562;aspirateur;vacuum cleaner;elektirikli süpürge;m.;aspiratör;-1
563;aspirine;aspirin;aspirin;f.;aspirin;-1
564;assaisonnement;seasoning;çeþnileme;m.;asezonmañ;151
565;assaisonner;toseason, to flavour;çeþni katmak;v.;asezone;151
566;assassin;murderer;canî, kaatil;m.;asasen;152
567;assassinat;murder, assassination;suikast;m.;asasina;152
568;assassiner;tomurder;öldürmek, katletmek;v.;asasine;152
569;assemblée;assembly;meclis;f.;asamble;153
570;assemblée nationale;lower house of the parliament;ulusal meclis;f.;asamble nasyonal;153
571;assembler;toassemble;toplamak, bir araya getirmek;v.;asamble;153
572;asseoir ;tosit;oturtmak;v.;asuar;154
573;s'asseoir ;tosit down;oturmak;v.;s'asuar;154
574;assez;enough;oldukça;adv.;ase;155
575;assez (de + nom);quite;yeterince;prép.;ase;155
576;en avoir assez de…;tobe fed up with…; -den, -mekten býkmak, usanmak;v.;mar (an avuar mar dö…);155
577;assiette;plate;tabak;f.;asiyet;-1
578;assis (-e);seated;oturmuþ;adj.;asi/asiz;154
579;être assis (e) ;tobe seated;oturuyor olmak;v.;etr asi/asiz;154
580;assistance;assistance;yardým, sigorta, hazýr bulunma;f.;asistans;156
581;assistant (-e);assistant;yardýmcý;m.;asistañ / asistant;156
582;assister à ;toassist;yardým etmek, hazýr bulunmak;v.;asiste;156
583;association;assossiation;cemiyet, örgüt, dernek;f.;asosiasyoñ;157
584;associer;toassociate;birleþtirmek, baðdaþtýrmak;v.;asosiye;157
585;assoiffé (-e);thirsty;susamýþ;adj.;asuafe;158
586;assourdir;todeafen, to muffle;saðýrlaþtýrmak;v.;asurdir;159
587;assourdissant (-e);deafining;saðýrlaþtýrýcý;adj.;asurdisan/asurdisant;159
588;assumer;toassume;üstlenmek;v.;asüme;-1
589;assurance;insurance, life insurance;güvence, sigorta, hayat sigortasý;f.;asürans;160
590;faire une assurance;toassure;sigortalamak;v.;fer ün asürans;160
591;assurer;toassure;sigortalamak;v.;asüre;160
592;assurer;toensure;güven vermek;v.;asüre;160
593;asthmatique;asthmatic;astýmlý;adj.;astmatik;161
594;asthme;astma;astým;m.;asm;161
595;astre;astre;yýldýz;m.;astr;162
596;astronaute;astronaut;astronot;m.;astronot;162
597;astronomie;astronomy;astronomi,gökbilim;f.;astronomi;162
598;asymétrique;assymmetric;simetrisiz, bakýþýmsýz;adj.;asimetrik;163
599;atelier;workshop;iþlik, atölye;m.;atölye;-1
600;athée;atheist, atheistic (adj);kâfir, Tanrýtanýmaz;m.f.;ate;-1
601;athlète;athlete;atlet;m.f.;atlet;164
602;athlétisme;athletics;atletizm;m.;atletizm;164
603;atmosphère;atmosphere;gazküre, havayuvar, atmosfer;f.;atmosfer;165
604;atmosphérique;atmospherical;atmosferle, hava küreyle ilgili;adj.;atmosferik;165
605;atome;atom;atom;m.;atom;166
606;atomique;atomic, nuclear;atomik;adj.;atomik;166
607;attaché;attaché;ateþe;m.;ataþe;167
608;attaché (-e);attached, attaché (Pol.);baðlý;adj.;ataþe;167
609;attacher;toattach, to fasten;baðlamak;v.;ataþe;167
610;s'attacher;toapply oneself;baðlanmak;v.;s'ataþe;167
611;attaque;attack;hamle, hücûm;f.;atak;168
612;attaquer;toattack;saldýrmak;v.;atake;168
613;atteindre;toattain;ulaþmak;v.;atendr;169
614;atteindre    ;toreach;yetiþmek, eriþmek;v.;atendr;169
615;attendre;towait, to expect;beklemek;v.;atandr;170
616;attentat;attempt, attack;suikast;m.;atañta;-1
617;attente;expectation;beklenti, bekleme;f.;atant;170
618;salle d'd'attente;waiting room;bekleme odasý;f.;sâl d'atant;170
619;attentif (-ve);attentif;dikkatli;adj.;atañtif/atañtiv;171
620;attention;notice;dikkat;f.;atansiyoñ;171
621;faire attention;topay attention;dikkat etmek;v.;fer atansiyoñ;171
622;attentivement;attentively;dikkatle;adv.;atañtivmañ;171
623;attestation;attestation, certificate;belge, sertifika;f.;atestasyoñ;-1
624;attirant (-e);attractive;çekici;adj.;atirañ/atirant;172
625;attirer;toattract, to draw;çekmek (dikkat…);v.;atire;172
626;attirer;toattract;çekmek, cezbetmek;v.;atire;172
627;attirer l'attention de…;todraw;dikkat çekmek (birinin…);v.;atire;172
628;attitude;attitude;davranýþ, tutum;f.;atitüd;-1
629;attractif (-ve);attractive;çekici;adj.;atraktif/atraktiv;173
630;attraction;attraction;çekim;f.;atraksiyoñ;173
631;attraper;tocatch;yakalamak;v.;atrape;1870
632;attristé (-e);sad;mahzun;adj.;atriste;174
633;attrister;tosadden;üzmek;v.;atriste;174
634;s'attrister ;tobe sad;hüzünlenmek;v.;s'atriste;174
635;aube;dawn, daybreak;þafak, seher, tan, gün aðýrmasý;f.;ob;-1
636;auberge;inn, hostel;han, pansiyon;f.;oberj;-1
637;aubergine;aubergine, eggplant;patlýcan;f.;oberjin;-1
638;aucun(-e);none;hiçbir…;adj.;oköñ;-1
639;audace;audacity;cesaret;f.;odas;175
640;audacieusement;audaciously;cesurca;adv.;odasiyözmañ;175
641;audacieux (-euse);daring, audacious;cesur;adj.;odasiyö/-öz;175
642;au-dessous (de);beneath;aþaðýda, aþaðýya;adv.;o dösu;176
643;au-dessus (de);above;yukarýda, yukarýya;adv.;o dösü;176
644;audience;audience;oturum, celse;f.;odiyans;-1
645;audiovisuel (-le);audio-visual;görsel;adj.;odyovizüel;-1
646;audit ;verification, audit;saðlama (kontrol);m.;odi;-1
647;auditeur (-trice);listener;dinleyici;m.f.;oditör;177
648;audition;hearing, audition;iþitme;f.;odisyoñ;177
649;auditoire;audience;dinleyiciler;m.;odituar;177
650;augmentation;increase;çoðalma, artma;f.;ogmantasyoñ;178
651;augmentation;rise;zam, maaþ zamý;f.;ogmañtasyoñ;178
652;augmenter;toincrease, to rise;çoðaltmak, arttýrmak;v.;ogmante;178
653;aujourd'hui;today;bugün;adv.;ojurdüi;-1
654;aumône;alms;sadaka;f.;omon;-1
655;auparavant;before;önceleri;adv.;oparavan;-1
656;auscultation;examination, auscultation ;muayene, sýrt dinleme (doktor);f.;oskültasyoñ;179
657;ausculter;toauscultate;sýrt dinlemek (doktor);v.;oskülte;179
658;aussi;also;de, da (dahi);adv.;osi;180
659;etaussi;and even, or even;voire, et aussi, de plus, en plus;adv.;osi;180
660;l'Australie;Australia;Avusturalya;f.;ostrali;181
661;Australien (-ne);Australian;Avusturalyalý;m.f.;ostraliyeñ;181
662;autant;as much, as many;kadar;adv.;otan;-1
663;autel;altar;mihrap;m.;otel;-1
664;auteur;author;yazan, yazar;m.;otör;-1
665;authenticité;authentication;resmiyet;f.;otañtisite;182
666;authentique;authentic;sahte olmayan, gerçek;adj.;otañtik;182
667;authoctone;indigène, autocthone;yerli (kiþi);adj.;eñdijeñ;-1
668;autobiographie;autobiography;özyaþamöyküsü, otobiyografi;f.;otobiyografi;183
669;autobiographique;autobiographical;özyaþamöyküsel, otobiyografik;adj.;otobiyografik;183
670;autobus;bus;otobüs;m.;otobüs;184
671;autocar;coach;otobüs (þehirler arasý);m.;otokar;-1
672;autocritique;self-criticism;özeleþtiri;f.;otokritik;185
673;automatique;automatic;otomatik;adj.;otomatik;-1
674;automnal (-e);autumnal;sonbahara, güze deðin;adj.;otomnal;186
675;automne;autumn, fall;sonbahar, güz;m.;otoñ;186
676;enautomne;in automn;güzün;m.;añ otoñ;186
677;automobile;car;araba, otomobil;m.;otomobil;-1
678;autonome;autonomous;egemen, otonom, özerk;adj.;otonom;187
679;autonomie;autonomy;egemenlik, özerklik;f.;otonomi;187
680;autopsie;autopsy;otopsi;f.;otopsi;-1
681;autorisation;authorization;izin, müsâde;f.;otorizasyoñ;188
682;autorisé (-e);authorized, permitted;izin verilmiþ, müsâdeli, yetkili;adj.;otorize;188
683;autoriser;toallow;izin vermek, müsâde etmek;v.;otorize;188
684;autoritaire;authoritarian;otoriter;adj.;otoriter;189
685;autorité;authority;yetki, otorite;f.;otorite;189
686;autoroute;highway,motorway;otoban, otoyol;f.;otorut;190
687;auto-stop;hitch-hiking;otostop;m.;oto-stop;191
688;faire de l'auto-stop;tohitchhike;otostop yapmak;v.;fer dö l'oto-stop;191
689;auto-stoppeur (-euse);hitch hiker;otostopçu;m.f.;oto-stopör;191
690;autour;around;etrafýnda, etrafýna;adv.;otur;-1
691;autre;other;baþka, öteki, diðer, öbürü;adj.;otr;192
692;autrefois;in the past;eskiden;adv.;otrpar;192
693;autrement;otherwise, else;baþka biçimde;adv.;otrman;192
694;d'autrepart;moreover;öteyandan;prép.;dotrpar;192
695;l'Autriche ;Austria;Avusturya;f.;otriþ;193
696;Autrichien (-ne);Austrian;Avusturyalý;m.f.;otriþiyeñ/-yen;193
697;avalanche;avalanche;çýð;f.;avalanþ;-1
698;avaler;toswallow;yutmak;v.;avale;-1
699;avance;advance;ierleme, avans;f.;avans;194
700;avancé (-e);advanced;ileri;adj.;avañse;194
701;avancer;toadvance, to progress;ilerlemek;v.;avañse;194
702;avant;before;önce, evvel, eskiden;prép.;avañ;195
703;avantage;advantage;avantaj;m.;avañtaj;-1
704;avant-hier;the day before yesterday;önceki gün;adv.;avantiyer;195
705;avare;miserly, sting;pinti, cimri;adj.;avar;196
706;avarice;miserliness, avarice;cimrilik, pintilik;f.;avaris;196
707;avec;with;ile;prép.;avek;-1
708;avenir;future;gelecek, istikbâl;m.;avönir;-1
709;aventure;adventure;macera;f.;avañtür;197
710;aventurier (-ère);adventurer, adventuress;maceraperest;m.f.;avañtüriye/ -yer;197
711;avenue;avenue;cadde (geniþ);f.;avönü;-1
712;averse;shower;saðanak;f.;avers;-1
713;avertir;towarn, to notice;uyarmak;v.;avertir;198
714;avertissement;warning, notice;ihtar, ikaz, uyarý;m.;avertismañ;198
715;aveu;confession;itiraf;m.;avö;200
716;aveugle;blind;kör;adj.;avögl;199
717;aveugler;toblind;körleþtirmek;v.;avögle;199
718;aviateur (-trice);aviator;havacý;m.f.;aviyatör / -tris;201
719;aviation;aviation;havacýlýk;f.;aviasyoñ;201
720;avide;eager;açgözlü, nekes;adj.;avid;-1
721;avion;airplane;uçak;m.;aviyoñ;-1
722;avocat (-e);lawyer, advocate;avukat;m.f.;avoka/avokat;-1
723;avoine;oats;yulaf;f.;avuan;-1
724;avoir;tohave;sahip olmak;v.;avuar;202
725;enavoir assez de/marre de ;tobe fed up;býkmak;v.;añ avuar ase dö / mar dö;202
726;avoir besoin de;toneed;ihtiyacý olmak;v.;avuar bözuañ dö;202
727;avoir chaud;tobe hot;sýcaklamak;v.;avuar þo;202
728;avoir confiance en / à qqn;tolean on, up;güvenmek;v.;avuar konfiyans añ …;202
729;avoir de la fièvre;tohave a temperature;ateþi olmak;v.;avuar dö la fiyevr;202
730;avoir des enfants;tohave children;çocuðu olmak;v.;avuar dezañfañ;202
731;avoir des nausées;tofeel sick;öðürmek, bulanmak (mide);v.;avuar de noze;202
732;avoir douleur;tohave pain;aðrýsý olmak;v.;avuar dulör;202
733;avoir envie;towant, to desire;hevesi, isteði olmak;v.;avuar añvi;202
734;avoir faim;tobe hungry;acýkmak;v.;avuar feñ;202
735;avoir froid;tobe cold;üþümek;v.;avuar frua;202
736;avoir honte;tobe ashamed;utanmak;v.;avuar ont;202
737;avoir l'âge de maturité;tobe of age;eriþkin olmak;v.;avuar laj dö matürite;202
738;avoir le droit;tobe allowed to;hakký olmak;v.;avuar lö drua;202
739;avoir lieu;totake place;gerçekleþmek, vuku bulmak;v.;avuar liyö;202
740;avoir l'intention de...;tomean, to intend;niyetlenmek;v.;avuar l'entañsiyoñ dö;202
741;avoir mal;tohave pain;aðrýsý olmak;v.;avuar mal;202
742;avoir peur;tobe affraid;korkmak;v.;avuar pör;202
743;avoir pitié;to pity;acýmak;v.;avuar pitiye;202
744;avoir raison;to be right;haklý olmak;v.;avuar rezoñ;202
745;avoir soif;tobe thursty;susamak;v.;avuar suaf;202
746;avoir tort;tobe wrong;haksýz olmak;v.;avuar tor;202
747;avoir une panne;tobreak down;arýzasý olmak;v.;avuar ün pan;202
748;avortement;curetage, abortion;çocuk düþürme, kürtaj, düþük ;m.;avortmañ;-1
749;avouer;toconfess;itiraf etmek;v.;avue;200
750;avril;april;nisan;m.;avril;-1
751;axe;axis;eksen;m.;aks;-1
752;azote;nitrogen;azot;m.;azot;-1
753;babouin;baboon;þebek;m.;babueñ;-1
754;babutier;tofalter;gevelemek;v.;balbütiye;-1
755;baby-sister;baby-sister;bebek bakýcýsý;m.f.;beybi-siter;-1
756;bac/baccalauréat;school leaving certificate;lise sonu sýnavý;m.;bak/bakalorya;-1
757;bacon;bacon;pastýrma (domuz);m.;bakoñ;-1
758;bactérie;bacterium, bacteria;bakteri;f.;bakteri;-1
759;bafouiller;tostammer;kem küm etmek;v.;bafuye;-1
760;bagage;baggage;bagaj;m.;bagaj;203
761;bagage à main;hand luggage;el bagajý;m.;bagaj a meñ;203
762;bague;ring;yüzük;f.;bag;-1
763;baguette;stick;deðnek, çubuk;f.;baget;-1
764;baie;bay;koy;f.;be;204
765;baie;bay;körfez;f.;be;204
766;sebaigner ;tohave a swim;denize girmek;v.;benye;205
767;baignoire;bathtub;küvet;f.;benyuar;-1
768;bail;lease;kira kontratý;m.;bay;-1
769;bâiller;toyawn;esnemek;v.;baye;-1
770;bain / bains;bath;banyo, hamam;m.;beñ;-1
771;salle de bains;bathroom;banyo;f.;sâl dö beñ;205
772;baïonnette;bayonet;süngü (silah);f.;bayonet;-1
773;baisse;fall, drop;inme, alçalma, azalma;f.;bes;206
774;baissé (-e);fallen, reduced;inmiþ, alçalmýþ, azalmýþ;adj.;bese;206
775;baisser;toreduce;inmek, alçalmak, azalmak;v.;bese;206
776;baisser le volume;to turn down, to lower;;v.;bese lö volüm;206
777;bal;ball, dance;balo;m.;bâl;-1
778;balade;walk, stroll;gezinti, dolaþma;f.;balad;207
779;sebalader;togo for a walk, stroll;gezinmek dolaþmak;v.;balade;207
780;balai;broom;süpürge;m.;bale;208
781;balance;scales;tartý, terazi;f.;balans;209
782;Balance;Libra;Terazi;f.;balans;209
783;balance romaine;scales;kantar;f.;balans romen;209
784;balancer (se balancer);toswing;sallamak (sallanmak);v.;balanse;209
785;balançoire;swing;salýncak;f.;balañsuar;209
786;balayer;tosweep;süpürmek;v.;baleye;208
787;balbutier;tostammer;kem küm etmek, dili dolaþmak;v.;balbütiye;-1
788;balcon;balcony;balkon;m.;balkoñ;-1
789;baleine;whale;balina;f.;balen;-1
790;Balkans;Balkan States;Balkanlar;m.;Bâlkan;-1
791;balle;ball;top (tenis);f.;bal;210
792;balle;ball;mermi, kurþun;f.;bal;210
793;ballerine;ballerina;balerin;f.;balerin;211
794;ballet;ballet;bale;m.;bale;211
795;ballon;ball;top, balon;m.;baloñ;-1
796;balustrade;handrail;týrabzan;f.;balüstrad;-1
